time,n_players,price,total_bids,welfare
8.0,1,1.0,0.001,-265.070067290431
9.0,1,1.0,0.001,-265.070067290431
12.0,2,1.0,0.002,-468.8192617282892
13.0,1,1.0,0.001,-225.38472185349477
14.0,1,1.0,0.001,-200.88578828078292
17.0,1,1.0,0.001,-183.73225707230677
18.0,1,1.0,0.001,-183.73225707230677
19.0,1,1.0,0.001,-183.73225707230677
21.0,1,1.0,0.001,-176.85951429265253
22.0,2,1.0,0.002,-336.95544960144457
23.0,2,1.0,0.3807094732599079,-67.8648648867211
24.0,3,1.0,8.533633621144128,-129.55365337310687
25.0,2,1.0,16.86301883735117,-67.78671787432472
26.0,2,1.0,27.616986043243674,-78.37323806720485
27.0,3,1.0,52.86226250962503,-170.95927789316536
28.0,5,1.0,111.3308091691637,-388.2234227076557
29.0,5,1.0,132.43322526143328,-408.98648952658624
30.0,5,1.0,127.0715436812878,-394.82214370533643
31.0,6,1.0,157.63296575895072,-510.78271729682746
32.0,6,1.0,163.25115673543212,-516.3675261331196
33.0,4,1.0,102.46714669454835,-288.43260241615747
34.0,3,1.0,58.12309934826975,-162.61456182112465
35.0,3,1.0,61.78214329803375,-165.83365868871851
36.0,3,1.0,53.46530506816513,-154.27236134142487
37.0,2,1.0,32.42604299863759,-74.91416737684185
38.0,2,1.0,14.826847244818534,-299.38964912407187
39.0,3,1.0,29.42368070049932,-220.02274871771178
40.0,4,1.0,64.78114809319801,-225.30946865967644
41.0,2,1.0,29.892290959728022,-70.02999919414259
42.0,2,1.0,29.147109724811724,-69.24968886328953
43.0,3,1.0,46.21544340374452,-140.4230471319955
44.0,2,1.0,28.824919230614384,-68.92872578232362
45.0,1,1.0,0.001,-134.03469002089477
46.0,1,1.0,0.001,-134.03469002089477
47.0,2,1.0,0.1653190204815439,-175.2638277739348
48.0,2,1.0,2.268240844275908,-78.18413312497353
49.0,2,1.0,2.01731781615533,-211.35262992961543
50.0,3,1.0,0.3236526294510347,-215.20968550245738
